"year","gdp"
"1960",1.35295e+12
"1961",1.40834e+12
"1962",1.50772e+12
"1963",1.62861e+12
"1964",1.78674e+12
"1965",1.94696e+12
"1966",2.11015e+12
"1967",2.2532e+12
"1968",2.4294e+12
"1969",2.67212e+12
"1970",2.93649e+12
"1971",3.24227e+12
"1972",3.74892e+12
"1973",4.56169e+12
"1974",5.2449e+12
"1975",5.83848e+12
"1976",6.33904e+12
"1977",7.16467e+12
"1978",8.43827e+12
"1979",9.81655e+12
"1980",1.10726e+13
"1981",1.13394e+13
"1982",1.1218e+13
"1983",1.15922e+13
"1984",1.2017e+13
"1985",1.26439e+13
"1986",1.49683e+13
"1987",1.70311e+13
"1988",1.90657e+13
"1989",2.0011e+13
"1990",2.25168e+13
"1991",2.38521e+13
"1992",2.53433e+13
"1993",2.57862e+13
"1994",2.76935e+13
"1995",3.07324e+13
"1996",3.1401e+13
"1997",3.13216e+13
"1998",3.11977e+13
"1999",3.23582e+13
"2000",3.3391e+13
"2001",3.31989e+13
"2002",3.44829e+13
"2003",3.8733e+13
"2004",4.36195e+13
"2005",4.72079e+13
"2006",5.11367e+13
"2007",5.75971e+13
"2008",6.3156e+13
"2009",5.98474e+13
"2010",6.56514e+13
"2011",7.29237e+13
"2012",7.44354e+13
"2013",7.65288e+13
"2014",7.83771e+13
"2015",7.38919e+13
